listing_id,review_count_from_text,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_min,sentiment_subjectivity_mean,review_length_mean,review_length_std,theme_cleanliness_mean,theme_cleanliness_positive_mean,theme_cleanliness_negative_mean,theme_communication_mean,theme_communication_positive_mean,theme_communication_negative_mean,theme_checkin_mean,theme_checkin_positive_mean,theme_checkin_negative_mean,theme_location_mean,theme_location_positive_mean,theme_location_negative_mean,theme_amenities_mean,theme_amenities_positive_mean,theme_amenities_negative_mean,theme_accuracy_mean,theme_accuracy_positive_mean,theme_accuracy_negative_mean,theme_noise_mean,theme_noise_positive_mean,theme_noise_negative_mean,theme_comfort_mean,theme_comfort_positive_mean,theme_comfort_negative_mean,theme_value_mean,theme_value_positive_mean,theme_value_negative_mean
2384,253,0.4246392217280401,0.17981479474570317,0.0,0.6318224392976908,380.3201581027668,316.73646515972825,0.383399209486166,0.383399209486166,0.0,0.05138339920948617,0.05138339920948617,0.0,0.1225296442687747,0.11857707509881422,0.0,0.6403162055335968,0.6284584980237155,0.0,0.1857707509881423,0.18181818181818182,0.0,0.11857707509881422,0.11857707509881422,0.0,0.08300395256916997,0.08300395256916997,0.0,0.5098814229249012,0.4980237154150198,0.0,0.03162055335968379,0.03162055335968379,0.0
7126,580,0.3784919304329976,0.1987078203189972,-0.33333333333333337,0.6031805854503393,270.6862068965517,258.17804867582623,0.16379310344827586,0.15689655172413794,0.0,0.20172413793103447,0.19655172413793104,0.0,0.1482758620689655,0.14482758620689656,0.0,0.7689655172413793,0.7396551724137931,0.0017241379310344827,0.1793103448275862,0.16551724137931034,0.0,0.16206896551724137,0.15344827586206897,0.0,0.15,0.13620689655172413,0.0017241379310344827,0.5362068965517242,0.5103448275862069,0.0017241379310344827,0.13793103448275862,0.1310344827586207,0.0
10945,121,0.40562888834527405,0.23519332429571424,-0.35000000000000003,0.5886774362220855,233.46280991735537,198.57408530664793,0.2066115702479339,0.2066115702479339,0.0,0.2809917355371901,0.2727272727272727,0.0,0.12396694214876033,0.11570247933884298,0.0,0.8016528925619835,0.768595041322314,0.008264462809917356,0.14049586776859505,0.14049586776859505,0.0,0.09090909090909091,0.08264462809917356,0.0,0.1652892561983471,0.1487603305785124,0.0,0.39669421487603307,0.36363636363636365,0.0,0.024793388429752067,0.01652892561983471,0.008264462809917356
12140,18,0.4459064740374264,0.25747597070828393,0.0,0.6159568387961245,253.33333333333334,226.4812678918112,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666,0.16666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,0.7222222222222222,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.0,0.5555555555555556,0.5,0.0,0.1111111111111111,0.1111111111111111,0.0
28749,253,0.42494594388342494,0.19715973780554355,-0.033983268983268956,0.6369253064524494,311.8300395256917,331.79621597498044,0.18972332015810275,0.17391304347826086,0.0,0.2015810276679842,0.18972332015810275,0.0,0.13043478260869565,0.11462450592885376,0.0,0.6245059288537549,0.5889328063241107,0.0,0.2885375494071146,0.2648221343873518,0.0,0.08695652173913043,0.07905138339920949,0.0,0.12648221343873517,0.1225296442687747,0.0,0.45454545454545453,0.4150197628458498,0.0,0.08695652173913043,0.07509881422924901,0.0
71930,134,0.4213284881499118,0.1888072411971125,0.0,0.633721724938753,332.3059701492537,304.5282862181221,0.20149253731343283,0.20149253731343283,0.0,0.11194029850746269,0.1044776119402985,0.0,0.1044776119402985,0.1044776119402985,0.0,0.6044776119402985,0.5895522388059702,0.0,0.1865671641791045,0.1865671641791045,0.0,0.03731343283582089,0.03731343283582089,0.0,0.11194029850746269,0.11194029850746269,0.0,0.4552238805970149,0.44776119402985076,0.0,0.05970149253731343,0.05970149253731343,0.0
94450,35,0.37473989927975637,0.1657697015161087,0.06000000000000001,0.5964221186118713,337.0857142857143,341.0740277959827,0.22857142857142856,0.22857142857142856,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2,0.2,0.0,0.7714285714285715,0.7714285714285715,0.0,0.3142857142857143,0.3142857142857143,0.0,0.02857142857142857,0.02857142857142857,0.0,0.22857142857142856,0.2,0.0,0.34285714285714286,0.34285714285714286,0.0,0.08571428571428572,0.08571428571428572,0.0
145659,77,0.46357896749804645,0.23765538706148392,-0.014393939393939398,0.6584335597893639,227.06493506493507,205.61104936917445,0.38961038961038963,0.38961038961038963,0.0,0.12987012987012986,0.12987012987012986,0.0,0.14285714285714285,0.12987012987012986,0.0,0.7142857142857143,0.7012987012987013,0.0,0.12987012987012986,0.12987012987012986,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.4155844155844156,0.4155844155844156,0.0,0.09090909090909091,0.09090909090909091,0.0
145690,86,0.4752594480739207,0.23418828818513912,0.0,0.6524338780144427,217.2325581395349,205.3321942275982,0.3023255813953488,0.29069767441860467,0.0,0.1511627906976744,0.13953488372093023,0.0,0.1511627906976744,0.1511627906976744,0.0,0.7558139534883721,0.7441860465116279,0.0,0.20930232558139536,0.19767441860465115,0.0,0.046511627906976744,0.03488372093023256,0.0,0.12790697674418605,0.11627906976744186,0.0,0.4883720930232558,0.47674418604651164,0.0,0.06976744186046512,0.06976744186046512,0.0
189821,699,0.4408660328550982,0.1731497153650583,-0.22499999999999995,0.6359343150286062,354.3304721030043,308.26686393388667,0.18025751072961374,0.17882689556509299,0.0,0.14163090128755365,0.1402002861230329,0.0,0.11587982832618025,0.11587982832618025,0.0,0.6838340486409156,0.6838340486409156,0.0,0.2603719599427754,0.2603719599427754,0.0,0.12875536480686695,0.12732474964234622,0.0,0.1072961373390558,0.1072961373390558,0.0,0.51931330472103,0.5178826895565093,0.001430615164520744,0.05007153075822604,0.05007153075822604,0.0
207218,320,0.3893111587929393,0.16967315170463745,-0.043750000000000004,0.6033485961757095,372.490625,332.72892735196143,0.21875,0.21875,0.0,0.1625,0.159375,0.0,0.175,0.171875,0.0,0.634375,0.625,0.0,0.253125,0.25,0.0,0.096875,0.096875,0.0,0.246875,0.240625,0.0,0.4125,0.403125,0.0,0.096875,0.096875,0.0
207351,48,0.34897864772857995,0.20108326337282467,-0.25,0.5494852385927733,330.3541666666667,330.81154174617643,0.16666666666666666,0.16666666666666666,0.0,0.14583333333333334,0.14583333333333334,0.0,0.1875,0.16666666666666666,0.0,0.4375,0.4166666666666667,0.0,0.20833333333333334,0.20833333333333334,0.0,0.125,0.10416666666666667,0.0,0.20833333333333334,0.1875,0.0,0.2708333333333333,0.25,0.0,0.0625,0.0625,0.0
