listing_id,review_count_from_text,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_min,sentiment_subjectivity_mean,review_length_mean,review_length_std,theme_cleanliness_mean,theme_cleanliness_positive_mean,theme_cleanliness_negative_mean,theme_communication_mean,theme_communication_positive_mean,theme_communication_negative_mean,theme_checkin_mean,theme_checkin_positive_mean,theme_checkin_negative_mean,theme_location_mean,theme_location_positive_mean,theme_location_negative_mean,theme_amenities_mean,theme_amenities_positive_mean,theme_amenities_negative_mean,theme_accuracy_mean,theme_accuracy_positive_mean,theme_accuracy_negative_mean,theme_noise_mean,theme_noise_positive_mean,theme_noise_negative_mean,theme_comfort_mean,theme_comfort_positive_mean,theme_comfort_negative_mean,theme_value_mean,theme_value_positive_mean,theme_value_negative_mean
958,485,0.4058222774784691,0.19607873967757933,-0.04259259259259257,0.6043701730780481,298.43917525773196,256.3644723377332,0.2845360824742268,0.2845360824742268,0.0,0.17525773195876287,0.1731958762886598,0.0,0.15257731958762888,0.15257731958762888,0.0,0.7752577319587629,0.7587628865979381,0.0,0.26597938144329897,0.2639175257731959,0.0,0.0865979381443299,0.08453608247422681,0.0,0.22061855670103092,0.21443298969072164,0.0,0.4742268041237113,0.45979381443298967,0.0,0.07835051546391752,0.07835051546391752,0.0
5858,110,0.4311952114657036,0.17219615679457229,0.0,0.6161308109054207,336.3363636363636,243.44911784083592,0.14545454545454545,0.14545454545454545,0.0,0.05454545454545454,0.05454545454545454,0.0,0.06363636363636363,0.05454545454545454,0.0,0.45454545454545453,0.44545454545454544,0.0,0.12727272727272726,0.12727272727272726,0.0,0.08181818181818182,0.08181818181818182,0.0,0.2,0.2,0.0,0.4,0.39090909090909093,0.0,0.05454545454545454,0.05454545454545454,0.0
8014,89,0.36866290973359844,0.18140325496469242,-3.469446951953614e-18,0.570567791269191,337.29213483146066,303.4099088334876,0.25842696629213485,0.23595505617977527,0.0,0.12359550561797752,0.12359550561797752,0.0,0.07865168539325842,0.056179775280898875,0.0,0.6067415730337079,0.5617977528089888,0.0,0.16853932584269662,0.14606741573033707,0.0,0.14606741573033707,0.12359550561797752,0.0,0.14606741573033707,0.1348314606741573,0.0,0.34831460674157305,0.3258426966292135,0.0,0.1348314606741573,0.1348314606741573,0.0
8142,10,0.319615465883323,0.12669164254853513,0.0,0.5131864048649764,244.3,159.20639992719444,0.4,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.0,0.3,0.3,0.0
8339,28,0.43081553094611175,0.13319113577133168,0.14382716049382716,0.628494177836265,617.5714285714286,405.8322430805733,0.17857142857142858,0.17857142857142858,0.0,0.14285714285714285,0.14285714285714285,0.0,0.10714285714285714,0.10714285714285714,0.0,0.8571428571428571,0.8571428571428571,0.0,0.32142857142857145,0.32142857142857145,0.0,0.21428571428571427,0.21428571428571427,0.0,0.10714285714285714,0.10714285714285714,0.0,0.6428571428571429,0.6428571428571429,0.0,0.03571428571428571,0.03571428571428571,0.0
10537,39,0.4318038965368042,0.14239721008186584,0.09523809523809523,0.6673897730570848,310.97435897435895,199.08705939857822,0.3076923076923077,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4358974358974359,0.4358974358974359,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.0,0.23076923076923078,0.23076923076923078,0.0,0.48717948717948717,0.48717948717948717,0.0,0.1282051282051282,0.1282051282051282,0.0
10578,18,0.4344785632962716,0.15429970950395,0.20575091575091578,0.6496124477374478,372.27777777777777,230.97894112197775,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4444444444444444,0.4444444444444444,0.0,0.8333333333333334,0.8333333333333334,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.0,0.05555555555555555,0.05555555555555555,0.0,0.5555555555555556,0.5555555555555556,0.0,0.16666666666666666,0.16666666666666666,0.0
11490,45,0.4226691834248356,0.18534488469019794,-0.026851851851851856,0.6161266448956569,300.4888888888889,195.00286970175384,0.24444444444444444,0.24444444444444444,0.0,0.044444444444444446,0.044444444444444446,0.0,0.17777777777777778,0.17777777777777778,0.0,0.6666666666666666,0.6444444444444445,0.0,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,0.0,0.08888888888888889,0.06666666666666667,0.0,0.4222222222222222,0.4,0.0,0.044444444444444446,0.044444444444444446,0.0
12041,7,0.3484971368056602,0.2416441994358363,0.0,0.5245118491841181,444.0,322.4189820714655,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0
12042,6,0.3290109828443162,0.17700477076929885,0.11000000000000001,0.5478479637646304,370.6666666666667,124.91703913664728,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0
12522,519,0.4377113707885614,0.17290054889643852,-0.22499999999999998,0.636010262283966,336.51830443159923,233.4921293561107,0.2678227360308285,0.2678227360308285,0.0,0.0789980732177264,0.0789980732177264,0.0,0.10982658959537572,0.10982658959537572,0.0,0.6339113680154143,0.628131021194605,0.0,0.09826589595375723,0.09826589595375723,0.0,0.09633911368015415,0.09441233140655106,0.0,0.08670520231213873,0.08670520231213873,0.0,0.4489402697495183,0.44508670520231214,0.0019267822736030828,0.04816955684007707,0.04816955684007707,0.0
18231,72,0.3888798120377578,0.17544583763017385,0.0,0.5877369251618099,424.1111111111111,373.3983846746278,0.3194444444444444,0.3055555555555556,0.0,0.1111111111111111,0.08333333333333333,0.0,0.08333333333333333,0.06944444444444445,0.0,0.7083333333333334,0.6666666666666666,0.0,0.2222222222222222,0.20833333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2777777777777778,0.2777777777777778,0.0,0.4305555555555556,0.3888888888888889,0.0,0.05555555555555555,0.041666666666666664,0.0
18904,506,0.4241180200241672,0.19474847355458572,-0.07083333333333333,0.6150730417826041,309.9822134387352,228.82480150110857,0.34189723320158105,0.34189723320158105,0.0,0.13636363636363635,0.13043478260869565,0.0,0.116600790513834,0.116600790513834,0.0,0.6363636363636364,0.6245059288537549,0.0,0.14031620553359683,0.14031620553359683,0.0,0.11067193675889328,0.11067193675889328,0.0,0.17588932806324112,0.17391304347826086,0.0,0.45454545454545453,0.44664031620553357,0.0,0.043478260869565216,0.043478260869565216,0.0
21334,125,0.40878043071550335,0.14723606758367666,0.07045454545454546,0.6282309765603076,361.392,237.7149246878597,0.08,0.08,0.0,0.168,0.168,0.0,0.128,0.128,0.0,0.648,0.648,0.0,0.136,0.128,0.0,0.168,0.168,0.0,0.144,0.144,0.0,0.432,0.432,0.0,0.104,0.104,0.0
24463,408,0.44645329855352317,0.1925804190721324,0.0,0.6350415537807881,337.3382352941176,286.5420685698154,0.2647058823529412,0.2647058823529412,0.0,0.11519607843137254,0.11274509803921569,0.0,0.1053921568627451,0.1053921568627451,0.0,0.48284313725490197,0.47549019607843135,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0857843137254902,0.0857843137254902,0.0,0.1568627450980392,0.1568627450980392,0.0,0.47549019607843135,0.47058823529411764,0.0,0.0392156862745098,0.0392156862745098,0.0
24723,496,0.41702808009688347,0.19399414070324092,-0.10833333333333334,0.5939881112602872,337.9193548387097,283.9173758534376,0.2862903225806452,0.2862903225806452,0.0,0.15725806451612903,0.1532258064516129,0.0,0.15524193548387097,0.15120967741935484,0.0,0.7338709677419355,0.7137096774193549,0.0,0.22782258064516128,0.21975806451612903,0.0020161290322580645,0.09475806451612903,0.0907258064516129,0.0,0.11693548387096774,0.11693548387096774,0.0,0.5241935483870968,0.49798387096774194,0.0,0.0846774193548387,0.08266129032258064,0.0
25094,78,0.4544069417549535,0.16658054475356412,0.0,0.6501015101026411,453.28205128205127,316.1709999859273,0.2564102564102564,0.2564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.0,0.10256410256410256,0.10256410256410256,0.0,0.5512820512820513,0.5512820512820513,0.0,0.2948717948717949,0.2948717948717949,0.0,0.15384615384615385,0.15384615384615385,0.0,0.16666666666666666,0.16666666666666666,0.0,0.46153846153846156,0.46153846153846156,0.0,0.02564102564102564,0.02564102564102564,0.0
26488,48,0.44293915956654595,0.1631867409964463,-0.04166666666666666,0.6549412588073776,461.7708333333333,438.1144919622905,0.4375,0.4166666666666667,0.0,0.14583333333333334,0.14583333333333334,0.0,0.10416666666666667,0.10416666666666667,0.0,0.6875,0.6875,0.0,0.2916666666666667,0.2916666666666667,0.0,0.125,0.125,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3958333333333333,0.3958333333333333,0.0,0.125,0.125,0.0
29557,142,0.4650838879666847,0.2253989564972927,-0.8749999999999998,0.6557205558588886,329.9718309859155,252.5711456165215,0.1619718309859155,0.1619718309859155,0.0,0.04929577464788732,0.04929577464788732,0.0,0.08450704225352113,0.08450704225352113,0.0,0.6126760563380281,0.6056338028169014,0.0,0.29577464788732394,0.29577464788732394,0.0,0.07746478873239436,0.07746478873239436,0.0,0.2323943661971831,0.2323943661971831,0.0,0.4507042253521127,0.4507042253521127,0.0,0.06338028169014084,0.056338028169014086,0.0
