iter	Passed	Remaining
169	430	2102
170	432	2097
171	434	2092
172	436	2088
173	438	2083
174	441	2079
175	443	2076
176	445	2071
177	447	2066
178	449	2062
179	451	2057
180	453	2053
181	455	2049
182	457	2044
183	459	2039
184	462	2035
185	463	2030
186	466	2026
187	468	2023
188	470	2019
189	472	2015
190	474	2011
191	476	2007
192	478	2002
193	480	1998
194	482	1993
195	485	1990
196	487	1986
197	489	1982
198	491	1978
199	493	1974
200	495	1970
201	497	1966
202	499	1962
203	501	1958
204	504	1954
205	506	1952
206	508	1949
207	511	1946
208	513	1942
209	515	1938
210	517	1934
211	519	1930
212	521	1927
213	523	1923
214	525	1920
215	527	1916
216	530	1913
217	532	1909
218	534	1905
219	536	1902
220	538	1898
221	540	1895
222	542	1891
223	545	1888
224	547	1884
225	549	1881
226	551	1877
227	553	1873
228	555	1870
229	557	1866
230	559	1863
231	561	1860
232	564	1856
233	566	1853
234	568	1849
235	570	1845
236	572	1842
237	574	1838
238	576	1834
239	578	1831
240	580	1827
241	582	1824
242	584	1820
243	586	1817
244	588	1814
245	591	1811
246	593	1808
247	595	1805
248	597	1801
249	599	1798
250	601	1795
251	603	1792
252	606	1789
253	608	1785
254	610	1782
255	612	1780
256	614	1777
257	617	1774
258	619	1771
259	621	1768
260	623	1765
261	626	1764
262	628	1761
263	630	1758
264	632	1755
265	635	1752
266	637	1749
267	639	1746
268	641	1743
269	643	1740
270	645	1737
271	648	1734
272	650	1731
273	652	1728
274	654	1725
275	656	1722
276	658	1719
277	661	1717
278	663	1715
279	665	1712
280	668	1709
281	670	1706
282	672	1703
283	675	1702
284	677	1699
285	679	1696
286	681	1694
287	684	1691
288	686	1689
289	688	1686
290	691	1683
291	693	1681
292	695	1677
293	697	1675
294	699	1672
295	702	1669
296	704	1666
297	706	1664
298	709	1662
299	711	1659
300	713	1656
301	715	1653
302	717	1650
303	719	1648
304	722	1645
305	724	1644
306	727	1642
307	729	1639
308	731	1636
309	733	1633
310	736	1630
311	738	1628
312	740	1625
313	742	1622
314	744	1619
315	746	1616
316	748	1613
317	750	1610
318	752	1607
319	755	1604
320	757	1601
321	759	1598
322	761	1595
323	764	1594
324	766	1591
325	768	1588
326	770	1586
327	772	1583
328	774	1580
329	777	1577
330	779	1575
331	781	1572
332	783	1569
333	785	1566
334	787	1564
335	790	1561
336	793	1560
337	795	1557
338	797	1554
339	799	1552
340	801	1549
341	804	1547
342	806	1544
343	808	1541
344	810	1538
345	812	1536
346	814	1533
347	817	1530
348	819	1527
349	821	1525
350	823	1522
351	825	1519
352	827	1516
353	829	1514
354	831	1511
355	833	1508
356	836	1505
357	838	1503
358	840	1501
359	842	1498
360	845	1495
361	847	1493
362	849	1490
363	851	1487
364	853	1484
365	855	1482
366	857	1479
367	859	1476
368	861	1473
369	863	1470
370	865	1468
371	868	1465
372	870	1463
373	872	1460
374	874	1457
375	876	1455
376	878	1452
377	881	1449
378	883	1447
379	885	1444
380	887	1442
381	889	1439
382	891	1436
383	894	1434
384	896	1431
385	898	1429
386	900	1426
387	902	1424
388	904	1421
389	906	1418
390	909	1415
391	911	1413
392	913	1410
393	915	1407
394	917	1405
395	919	1402
396	921	1399
397	923	1396
398	925	1394
399	927	1391
400	929	1388
401	931	1386
402	934	1383
403	936	1381
404	938	1378
405	940	1376
406	943	1374
407	945	1371
408	947	1369
409	949	1366
410	951	1364
411	954	1361
412	956	1359
413	958	1356
414	960	1354
415	962	1351
416	964	1349
417	967	1346
418	969	1343
419	971	1341
420	973	1339
421	975	1336
422	977	1334
423	980	1331
424	982	1328
425	984	1326
426	986	1323
427	988	1321
428	990	1318
429	992	1315
430	994	1313
431	996	1310
432	998	1307
433	1000	1305
434	1002	1302
435	1004	1300
436	1007	1297
437	1009	1295
438	1011	1292
439	1013	1289
440	1015	1287
441	1017	1284
442	1019	1281
443	1021	1279
444	1023	1276
445	1026	1274
446	1028	1272
447	1030	1269
448	1032	1267
449	1034	1264
450	1036	1262
451	1038	1259
452	1041	1257
453	1043	1254
454	1045	1252
455	1047	1249
456	1050	1247
457	1052	1245
458	1054	1242
459	1056	1240
460	1058	1237
461	1060	1235
462	1062	1232
463	1064	1230
464	1067	1227
465	1069	1225
466	1071	1222
467	1073	1219
468	1075	1217
469	1077	1214
470	1079	1212
471	1081	1209
472	1083	1207
473	1086	1205
474	1088	1202
475	1090	1200
476	1092	1198
477	1094	1195
478	1096	1192
479	1099	1190
480	1101	1188
481	1103	1185
482	1105	1183
483	1107	1181
484	1110	1178
485	1112	1176
486	1114	1173
487	1116	1171
488	1118	1168
489	1120	1166
490	1122	1164
491	1124	1161
492	1126	1158
493	1128	1156
494	1131	1153
495	1133	1151
496	1135	1149
497	1137	1146
498	1139	1144
499	1142	1142
500	1144	1139
501	1146	1137
502	1148	1134
503	1150	1132
504	1153	1130
505	1155	1128
506	1158	1126
507	1160	1124
508	1162	1121
509	1164	1119
510	1167	1116
511	1169	1114
512	1171	1112
513	1173	1109
514	1175	1107
515	1177	1104
516	1180	1103
517	1183	1101
518	1186	1099
519	1188	1096
520	1190	1094
521	1192	1092
522	1194	1089
523	1197	1087
524	1199	1085
525	1201	1082
526	1203	1080
527	1205	1077
528	1207	1075
529	1210	1073
530	1212	1070
531	1214	1068
532	1216	1065
533	1218	1063
534	1220	1060
535	1222	1058
536	1224	1056
537	1226	1053
538	1228	1051
539	1231	1048
540	1233	1046
541	1235	1043
542	1237	1041
543	1239	1039
544	1241	1036
545	1243	1034
546	1245	1031
547	1247	1029
548	1250	1027
549	1252	1024
550	1254	1022
551	1256	1019
552	1258	1017
553	1260	1015
554	1263	1012
555	1265	1010
556	1267	1008
557	1269	1005
558	1271	1003
559	1273	1000
560	1275	998
561	1277	995
562	1279	993
563	1282	991
564	1284	988
565	1286	986
566	1288	983
567	1290	981
568	1292	978
569	1294	976
570	1296	973
571	1298	971
572	1300	969
573	1302	966
574	1304	964
575	1307	962
576	1309	959
577	1311	957
578	1313	954
579	1315	952
580	1317	950
581	1319	947
582	1321	945
583	1323	942
584	1325	940
585	1328	938
586	1330	936
587	1332	933
588	1334	931
589	1336	928
590	1338	926
591	1341	924
592	1343	921
593	1345	919
594	1347	917
595	1349	914
596	1351	912
597	1353	910
598	1355	907
599	1357	905
600	1360	903
601	1362	900
602	1364	898
603	1366	896
604	1368	893
605	1371	891
606	1374	889
607	1376	887
608	1378	885
609	1380	882
