iter	Logloss
159	0.2995783768
160	0.2991088493
161	0.2983476215
162	0.2980164395
163	0.2974378961
164	0.2968375049
165	0.2965345589
166	0.2962168615
167	0.2957828765
168	0.295284999
169	0.294781744
170	0.2936952689
171	0.2932743396
172	0.2927735836
173	0.2921500703
174	0.2896765356
175	0.2891472384
176	0.2889591238
177	0.2886055304
178	0.2881047126
179	0.2871395254
180	0.2866544528
181	0.2859874859
182	0.2855889902
183	0.2852001603
184	0.2847659685
185	0.2843286025
186	0.2838820766
187	0.2834568407
188	0.2819686012
189	0.2815681343
190	0.2810017053
191	0.2805110727
192	0.2800030282
193	0.2796155792
194	0.279249351
195	0.2787336899
196	0.2781857352
197	0.2777831057
198	0.2774045828
199	0.2768932417
200	0.2765954388
201	0.2750295029
202	0.2729331045
203	0.2721511838
204	0.2717632644
205	0.2712946506
206	0.2709255246
207	0.270466682
208	0.2702284512
209	0.269868048
210	0.2693293063
211	0.2687711495
212	0.2681938275
213	0.2677408516
214	0.2671613147
215	0.2666469073
216	0.2663214078
217	0.2659721442
218	0.2652425156
219	0.2647771173
220	0.2647578772
221	0.2643197935
222	0.263215414
223	0.2628466067
224	0.2622640981
225	0.2616972001
226	0.2610614743
227	0.2604661423
228	0.2600810339
229	0.2596015102
230	0.2591152457
231	0.2586492451
232	0.2581794298
233	0.257666635
234	0.2571539125
235	0.2559959116
236	0.2553529856
237	0.254855896
238	0.2543708904
239	0.2539847379
240	0.2537368136
241	0.2532455218
242	0.2520748067
243	0.2516399278
244	0.2512873933
245	0.2509724233
246	0.2506622906
247	0.249930562
248	0.248559294
249	0.2470447734
250	0.2466094781
251	0.246184187
252	0.2457500591
253	0.245387462
254	0.2449821861
255	0.2444537722
256	0.2440304616
257	0.2436264672
258	0.2432084039
259	0.2429326592
260	0.2425927991
261	0.2421269474
262	0.2417471591
263	0.2412155096
264	0.2407405254
265	0.2403040812
266	0.2397792963
267	0.2394590995
268	0.2394125805
269	0.2391505733
270	0.238869469
271	0.2377803001
272	0.2372540046
273	0.2367386395
274	0.2363553533
275	0.2360073309
276	0.2356465434
277	0.2351471855
278	0.2346107618
279	0.2341898428
280	0.2338526302
281	0.233477631
282	0.2331978458
283	0.2327728331
284	0.2318965765
285	0.2314209469
286	0.2310862475
287	0.2304528652
288	0.2299642881
289	0.2296921465
290	0.2293451568
291	0.22901291
292	0.2283190337
293	0.2278883859
294	0.227534959
295	0.2270698252
296	0.2261905508
297	0.2259155794
298	0.225461145
299	0.2250167582
300	0.224233723
301	0.2237791695
302	0.223420745
303	0.2232049325
304	0.2226612954
305	0.2223602528
306	0.221907068
307	0.2216196114
308	0.2211344859
309	0.2208003999
310	0.2205620551
311	0.220006677
312	0.219643229
313	0.2192432986
314	0.2189927962
315	0.2185947604
316	0.2182329122
317	0.2179831711
318	0.217670328
319	0.2173991153
320	0.2168793258
321	0.2164280921
322	0.2162402946
323	0.2159019793
324	0.2155993641
325	0.2147543882
326	0.2144577113
327	0.2140088467
328	0.2136987968
329	0.2135219319
330	0.213233388
331	0.2128517649
332	0.2125471684
333	0.2125389259
334	0.2122638815
335	0.2117397847
336	0.2115333488
337	0.2111032884
338	0.2107655273
339	0.2103679005
340	0.2101043228
341	0.2098634086
342	0.2094647728
343	0.2091596666
344	0.2089221044
345	0.2086113151
346	0.2083008115
347	0.2078999889
348	0.2075511127
349	0.207122401
350	0.2067861973
351	0.206346377
352	0.2058851061
353	0.2054783282
354	0.2052108352
355	0.2048359097
356	0.2045525206
357	0.2043769146
358	0.2040670871
359	0.2037934855
360	0.2035135448
361	0.2032782861
362	0.2030248707
363	0.2026231838
364	0.2023942974
365	0.2021341731
366	0.201859339
367	0.2015604617
368	0.2013580814
369	0.2010876317
370	0.2007504381
371	0.2004954684
372	0.2002681167
373	0.1997344546
374	0.1993794924
375	0.1990685921
376	0.1987053816
377	0.1984838325
378	0.1981972105
379	0.1979124304
380	0.1975998016
381	0.1975907952
382	0.1973315666
383	0.197066768
384	0.1967726322
385	0.1965583071
386	0.1961375082
387	0.1958089588
388	0.1955302888
389	0.195138725
390	0.1947620317
391	0.1944412879
392	0.1940883867
393	0.1937785713
394	0.1935890926
395	0.1930987278
396	0.1928405897
397	0.1925455531
398	0.1923015212
399	0.1920194881
400	0.1918808325
401	0.1916272094
402	0.1913754317
403	0.1911984419
404	0.190881453
405	0.1906405255
406	0.1903943931
407	0.1900548546
408	0.189662632
409	0.1893264514
410	0.1891413902
411	0.1890192232
412	0.1888714269
413	0.1885981331
414	0.1882727304
415	0.1880636687
416	0.1875128062
417	0.1874191329
418	0.1870535199
419	0.1867900003
420	0.1865774121
421	0.1862966171
422	0.1860540982
423	0.1858201728
424	0.1854925373
425	0.1852687678
426	0.185021459
427	0.1848296407
428	0.1845918093
429	0.1842535712
430	0.1838755789
431	0.1836277449
432	0.1834119231
433	0.1829803577
434	0.1826910256
435	0.1825155571
436	0.1822048498
437	0.1819692505
438	0.1817211573
439	0.18146073
440	0.1811074913
441	0.1808328502
442	0.1805781151
443	0.180321216
444	0.1796807017
445	0.1794420105
446	0.1791330431
447	0.1788793377
448	0.1785453823
449	0.1783481891
450	0.1781456356
451	0.1778749478
452	0.1776376868
453	0.177262302
454	0.1768481122
455	0.1767154831
456	0.1764146302
457	0.1758442621
458	0.175530327
459	0.1751518121
460	0.1748172267
461	0.1746612469
462	0.174412784
463	0.1741003398
464	0.1739456755
465	0.1735182557
466	0.1731446459
467	0.1729666299
468	0.1726270823
469	0.1724094667
470	0.1721347705
471	0.1718873039
472	0.1715308316
473	0.1713080059
474	0.1710403175
475	0.170852543
476	0.1704746599
477	0.1702577026
478	0.1700299828
479	0.1699148412
480	0.1697093362
481	0.1693968521
482	0.1691353226
483	0.1688644265
484	0.1685169281
485	0.1683719781
486	0.1680104477
487	0.1677212786
488	0.1671606361
489	0.1669007436
490	0.16689484
491	0.1666343715
492	0.1664163246
493	0.1659680168
494	0.1657414861
495	0.1654644809
496	0.1652223558
497	0.1649500486
498	0.1646446294
499	0.1645179244
500	0.1643497762
501	0.1641584461
502	0.1637421975
503	0.1634997582
504	0.163293415
505	0.1630360604
506	0.1627778277
507	0.1625640929
508	0.162487954
509	0.1623246254
510	0.1620615449
511	0.1617009218
512	0.1615170315
513	0.161291066
514	0.1611072166
515	0.1608869512
516	0.1605380355
517	0.1602652132
518	0.1599692096
519	0.1597277708
520	0.1595725832
521	0.1593211078
522	0.1591178759
523	0.158914179
524	0.1586071369
525	0.1582040574
526	0.1579558914
527	0.1577732598
528	0.1575341552
529	0.1572591966
530	0.1570461617
531	0.1568267179
532	0.1566022382
533	0.1564125489
534	0.1564066498
535	0.1561866147
536	0.156003715
537	0.1557487852
538	0.1555142042
539	0.1552409291
540	0.1550777257
541	0.1548006726
542	0.1546099944
543	0.1543303874
544	0.1539911573
545	0.153762555
546	0.1535570607
547	0.1533248374
548	0.1531171568
549	0.1528704855
550	0.1526378244
551	0.1524846611
552	0.1523275545
553	0.1520963808
554	0.1518459286
555	0.1515911828
556	0.1513835783
557	0.151146864
558	0.151014089
559	0.1508269948
560	0.1505021363
561	0.1503151371
562	0.1500072828
563	0.1498193287
564	0.1495615156
565	0.1492919089
566	0.149088141
567	0.1488547532
568	0.1486386692
569	0.1484795655
570	0.1482198785
571	0.1480544792
572	0.1478312568
573	0.1476456314
574	0.1474728364
575	0.1472838903
576	0.1470596063
577	0.1468380429
578	0.146670618
579	0.1464572777
580	0.1461711683
581	0.1459503437
582	0.1457806177
583	0.1456002394
584	0.1453872561
585	0.1452742719
586	0.1450476688
587	0.1448024459
588	0.144652751
589	0.1443767899
590	0.1441271166
591	0.1438691516
592	0.1436599103
593	0.1434973405
594	0.1433604656
595	0.1431919885
596	0.1429637465
597	0.1427567494
598	0.1425817043
599	0.1424565325
600	0.1422810423
601	0.1420285995
602	0.1417584396
603	0.1415789139
604	0.1414557246
605	0.1411997361
606	0.1410751252
607	0.1409526656
608	0.1407983778
609	0.140626083
