iter	Logloss
0	0.6710839715
1	0.6523298264
2	0.6326976513
3	0.6176355351
4	0.6034478687
5	0.5905946041
6	0.5800930949
7	0.5684120376
8	0.5596926261
9	0.5467705884
10	0.5373475796
11	0.5279681141
12	0.5201913364
13	0.5105713539
14	0.5057911831
15	0.4955949099
16	0.4917410973
17	0.4866507441
18	0.4804064829
19	0.4765253965
20	0.4694815474
21	0.4654127157
22	0.4596096472
23	0.4569888978
24	0.4534097804
25	0.450035445
26	0.4464757098
27	0.4441486549
28	0.4421285868
29	0.4372376981
30	0.4341786258
31	0.432075594
32	0.4299656954
33	0.4256642838
34	0.4223580327
35	0.4195769439
36	0.4132374985
37	0.411546731
38	0.407866956
39	0.4059222754
40	0.4044592315
41	0.4028947868
42	0.4016905625
43	0.4001032513
44	0.3989027844
45	0.3977332161
46	0.3963097081
47	0.3946298391
48	0.3929401274
49	0.3907414774
50	0.3889978583
51	0.3879710863
52	0.3864862306
53	0.3848461626
54	0.3842962451
55	0.3832988186
56	0.3815076417
57	0.3807833147
58	0.3793906034
59	0.3758000391
60	0.3736975442
61	0.3706332567
62	0.3699631172
63	0.3688354647
64	0.368163174
65	0.364028249
66	0.363030478
67	0.3626263381
68	0.3618160216
69	0.3612146197
70	0.3590548012
71	0.3575635478
72	0.3570018749
73	0.3560425942
74	0.3554568702
75	0.3548770624
76	0.3542612584
77	0.3530302826
78	0.3525658367
79	0.3519518354
80	0.350889901
81	0.3500630212
82	0.3487283876
83	0.3481208199
84	0.3464302507
85	0.3458462034
86	0.3444490528
87	0.3436883238
88	0.3431673358
89	0.3427540915
90	0.3419878179
91	0.3409601944
92	0.3406031368
93	0.3376840025
94	0.3371556154
95	0.3364761662
96	0.3360275666
97	0.3352639011
98	0.3345825229
99	0.3341436551
100	0.3337564643
101	0.3331953366
102	0.3326589605
103	0.3321750457
104	0.3313406267
105	0.329977727
106	0.3293911234
107	0.3289916942
108	0.3282607216
109	0.3278862216
110	0.3272514541
111	0.3269078461
112	0.3261287287
113	0.3257304569
114	0.3252672793
115	0.3249961152
116	0.3243545951
117	0.3238363369
118	0.321595148
119	0.3207695032
120	0.3201994994
121	0.3197915171
122	0.3193046449
123	0.3185979498
124	0.3174490248
125	0.3170914698
126	0.3168265636
127	0.3161795609
128	0.3157493684
129	0.3154144282
130	0.3140627329
131	0.3137756853
132	0.3133548928
133	0.3129959443
134	0.3125083547
135	0.3120127911
136	0.3111826711
137	0.3108247708
138	0.3104480713
139	0.3100018175
140	0.3095072735
141	0.3091236904
142	0.3086507802
143	0.3079886821
144	0.3075525364
145	0.3071389687
146	0.306088723
147	0.3053121046
148	0.3046161369
149	0.304269557
150	0.3038558931
151	0.3036295523
152	0.302763671
153	0.3023767082
154	0.3018311184
155	0.3012599824
156	0.3008692539
157	0.3004887231
158	0.300157252
